reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02208(r)/1.3.1A2(rev)/1.3.1.22;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R01835(r)/1.3.1A2(rev)/1.3.1.3;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R07447/1.3.1A2(rev)/1.3.1.22;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R07429/1.3.1A2(rev)/1.3.1.22;	1/1.3.1A1(rev);	0.428846	1	0.692308	0.5	0.47619	0.460317	0.43617	0.398305	0.358974
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.427203	1	0.692308	0.5	0.434783	0.426471	0.418367	0.394958	0.388889
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.427203	1	0.692308	0.5	0.434783	0.426471	0.418367	0.394958	0.388889
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.427203	1	0.692308	0.5	0.434783	0.426471	0.418367	0.394958	0.388889
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.427203	1	0.692308	0.5	0.434783	0.426471	0.418367	0.394958	0.388889
R03962(r)/1.3.1A2(rev)/1.3.1.51;	1/1.3.1A1(rev);	0.427203	1	0.692308	0.5	0.434783	0.426471	0.418367	0.394958	0.388889
R05310(r)/1.3.1A1(rev)/1.3.1.60;	1/1.3.1A1(rev);	0.425331	0.777778	0.5625	0.442623	0.42	0.405405	0.412935	0.405172	0.421053
